""	"A"	"Coef"	"t"	"p.value"	"p.value.adj"	"F"	"F.p.value"	"ID"	"M1"	"M2"	"M3"	"M4"	"M5"	"M6"	"M7"	"M8"	"M9"	"H1"	"H2"	"H3"	"H4"	"H5"	"H6"	"H7"	"H8"	"H9"	"N"	"log2.avg.H.M"	"log2.sd.H.M"	"log2.N.H.M"	"log2.avg.I"	"log2.H.M.1"	"log2.H.M.2"	"log2.H.M.3"	"log2.H.M.4"	"log2.H.M.5"	"log2.H.M.6"	"log2.H.M.7"	"log2.H.M.8"	"log2.H.M.9"	"nID"
"Probable global transcription activator SNF2L2 [SMARCA2 ...] [P51531 ...]"	22.38	-2.242	-1.67	0.11115	0.262646	2.8	0.11115	"Probable global transcription activator SNF2L2 [SMARCA2 ...] [P51531 ...]"	24.1073721481374	23.8270237308177	25.2940082291384	19.1079794992976	25.3931872487687	25.6458385171039	21.24798954953	25.2484674876607	21.6566720908736	20.9611424602316	20.1254595625023	21.8336761222064	21.3177488727105	20.5847101128747	22.2194523457951	20.4196901846102	22.3694081651003	21.5226113197829	18	-2.24162666666667	2.21042794481069	9	24.6847372980633	-3.14623	-3.70156	-3.46033	2.20977	-4.80848	-3.42639	-0.828300000000002	-2.87906	-0.134059999999998	11
"RNA binding motif protein, X-linked-like-1 [RBMXL1 ...] [Q96E39 ...]"	21.03	-2.176	-2.26	0.04275	0.130158	5.12	0.04275	"RNA binding motif protein, X-linked-like-1 [RBMXL1 ...] [Q96E39 ...]"	22.5611948585032	NA	20.4780865525756	20.0436297624285	22.5342016382688	23.0573479310633	23.8484691168381	NA	NA	19.8610485813036	NA	19.2560317566758	18.6863342883603	20.3375113188193	20.5898076956956	21.0995898850947	NA	NA	12	-2.115435	0.670313416239	6	22.27852588336	-2.70014	NA	-1.22206	-1.3573	-2.19669	-2.46754	-2.74888	NA	NA	12
"Histone-lysine N-methyltransferase MLL [MLL ...] [E9PQG7 ...]"	22.57	-2.087	-2.3	0.03325	0.109614	5.31	0.03325	"Histone-lysine N-methyltransferase MLL [MLL ...] [E9PQG7 ...]"	24.7481195001916	24.4461309073977	22.2367240864785	21.7132009139768	24.3397347337566	24.3935954972068	21.5206983511461	24.5218816506483	24.5686322663759	22.9198346571059	22.0882428559177	19.9509484604302	21.1809148810152	21.9493123744144	21.9220752504273	20.7729186152032	21.24798954953	21.6735051247547	18	-2.08699666666667	0.914613326411768	9	24.3016049053414	-1.82829	-2.35789	-2.28577	-0.53229	-2.39042	-2.47152	-0.747780000000002	-3.27389	-2.89512	13
"Transcription elongation regulator 1 [TCERG1 ...] [O14776 ...]"	25.52	-2.079	-7.29	0	2.7e-05	53.12	0	"Transcription elongation regulator 1 [TCERG1 ...] [O14776 ...]"	26.9302530198403	26.1388640184834	26.5568402515122	25.759113808577	26.6699616278729	26.5971569162748	26.759844569481	26.63560245006	27.0027798634234	24.7815927479966	24.473332855099	24.4230714845209	23.9407861399364	24.9368178686166	24.3776229810463	24.4296222604818	24.2204280961724	24.7524700114862	18	-2.07940666666667	0.271937903757457	9	26.9075680235469	-2.14866	-1.66553	-2.13377	-1.81832	-1.73314	-2.21954	-2.33022	-2.41517	-2.25031	14
"Heterogeneous nuclear ribonucleoprotein A1 [HNRNPA1 ...] [P09651 ...]"	28.75	-2.052	-7.17	0	3.3e-05	51.38	0	"Heterogeneous nuclear ribonucleoprotein A1 [HNRNPA1 ...] [P09651 ...]"	29.1407910869456	29.2964370456848	29.373828733341	30.1164145212248	30.6048925264454	30.2797770242831	29.6684306655728	29.7419050275216	29.7398529484944	26.6916167448285	27.8358738772285	27.4535905673709	28.3405484571817	27.9870462189964	28.0546725411161	27.708041224117	27.7851290794004	27.6385356810397	18	-2.05191888888889	0.348421455655519	9	30.1565255385068	-2.44917	-1.46057	-1.92024	-1.77586	-2.61784	-2.22511	-1.96039	-1.95678	-2.10131	15
"Heat shock cognate 71 kDa protein [HSPA8 ...] [P11142 ...]"	28.53	-2.045	-11.55	0	0	133.36	0	"Heat shock cognate 71 kDa protein [HSPA8 ...] [P11142 ...]"	29.4465299550179	29.734662395661	29.66413743346	29.4991180407825	29.662399971068	29.6606508085925	29.557992678963	29.454595807448	29.3050902993779	27.9543661657643	27.9132465858882	27.8991537427137	27.0896035772576	27.1578407873261	26.969073364162	27.5073887490223	27.5190190264171	27.569958942223	18	-2.04505888888889	0.403761928041899	9	29.8798985041671	-1.49216	-1.82141	-1.76499	-2.40952	-2.50456	-2.69158	-2.0506	-1.93558	-1.73513	16
"PRKR-interacting protein 1 [PRKRIP1 ...] [Q9H875 ...]"	21.52	-1.949	-1.7	0.10908	0.260762	2.88	0.10908	"PRKR-interacting protein 1 [PRKRIP1 ...] [Q9H875 ...]"	24.0890104981074	23.1630942586998	23.5468779278423	22.646824236157	21.1995601881763	NA	21.5933904356776	22.7908188718671	21.1076265590854	22.4727342308838	20.9627080349707	20.4265829203111	21.0599217420223	20.1272433181331	NA	18.4344574128363	23.2376893036317	17.4498960615719	16	-1.99574625	1.33907871340109	8	23.157003008832	-1.61628	-2.20038	-3.1203	-1.5869	-1.07232	NA	-3.15893	0.446870000000001	-3.65773	17
"A-kinase anchor protein 2 [AKAP2 ...] [Q9Y2D5-4 ...]"	21.93	-1.904	-2.72	0.01408	0.057462	7.38	0.01408	"A-kinase anchor protein 2 [AKAP2 ...] [Q9Y2D5-4 ...]"	22.9131835609838	23.1722210945476	23.3982534793546	23.4999242332564	22.6071597514035	22.7606435993814	22.5160306952047	22.7259446416415	22.3119164856978	20.3859563587034	21.8838179284972	20.4747936679933	20.9927184315283	19.1054053455357	20.0454517549495	23.9325309176611	20.5217573426852	21.4234330788573	18	-1.90437666666667	1.48022115341762	9	23.4434376724918	-2.52722	-1.2884	-2.92346	-2.5072	-3.50175	-2.71519	1.4165	-2.20418	-0.888490000000001	18
"BH3-interacting domain death agonist [BID ...] [P55957-2 ...]"	23.39	-1.892	-3.19	0.00508	0.025673	10.15	0.00508	"BH3-interacting domain death agonist [BID ...] [P55957-2 ...]"	24.1704495382132	22.9509464926593	23.1860264589544	25.1604413794825	25.1681456071384	23.7136631099794	25.381228622326	23.5375917690096	25.7355303167359	22.6974831568718	22.199622383754	21.1943816800653	23.4422556098414	23.352165965473	23.0980737958108	22.2364858005159	21.972153780754	21.786673350706	18	-1.89163777777778	1.06410349902838	9	24.9662976914834	-1.47297	-0.751329999999999	-1.99165	-1.71818	-1.81598	-0.615590000000001	-3.14474	-1.56544	-3.94886	19
"Actin, alpha cardiac muscle 1 [ACTC1 ...] [P68032 ...]"	23.68	-1.832	-2.61	0.01746	0.068211	6.84	0.01746	"Actin, alpha cardiac muscle 1 [ACTC1 ...] [P68032 ...]"	24.6574880340385	24.7582728824971	24.3250396109906	24.3736534992927	25.2443720297627	25.2462065936038	24.7764302176314	23.3966018079143	24.5447139509682	23.4771554469596	22.944940211088	23.0748735764768	21.8231921754692	23.4490888813324	22.9759322835399	23.5452497329107	20.0275037689216	23.5151617422119	18	-1.83218666666667	0.777878345758513	9	25.0776661067789	-1.18033	-1.81333	-1.25017	-2.55046	-1.79528	-2.27028	-1.23118	-3.3691	-1.02955	20
"Histone H2B type 2-E [HIST2H2BE ...] [Q16778 ...]"	22.09	-1.743	-3.83	0.00121	0.008891	14.68	0.00121	"Histone H2B type 2-E [HIST2H2BE ...] [Q16778 ...]"	24.4562569522971	23.2636745676335	23.5306749381548	22.9293501320691	22.0906987680957	21.9535815035292	23.4037082153379	22.5795845359049	22.4675280305229	22.4208094117909	21.5094648202744	21.0514939248145	21.5132980088071	20.7856939387906	20.3421557518135	21.2996579045472	20.9244740791329	21.1372360744326	18	-1.74341888888889	0.395611586263738	9	23.5254431678043	-2.03545	-1.75421	-2.47918	-1.41605	-1.30501	-1.61142	-2.10405	-1.65511	-1.33029	21
"Stromal membrane-associated protein 2 [SMAP2 ...] [Q8WU79 ...]"	23.61	-1.738	-2.03	0.05774	0.16436	4.1	0.05774	"Stromal membrane-associated protein 2 [SMAP2 ...] [Q8WU79 ...]"	20.4797412684462	25.1856348678796	25.2091580293291	25.3863138237007	25.1904773859924	24.4508100225518	24.8343838539999	24.699752712197	24.8932724415377	22.34647352769	22.977218430339	22.2820354392394	23.0548596244822	23.5983538945992	23.0845518158371	22.3008495227174	21.8719584053186	23.1745293610743	18	-1.73763333333333	1.45610361345785	9	25.1680204350338	1.86673	-2.20841	-2.92712	-2.33145	-1.59213	-1.36626	-2.53353	-2.82779	-1.71874	22
"Nucleolin [NCL ...] [P19338 ...]"	27.37	-1.691	-3.21	0.00485	0.025347	10.28	0.00485	"Nucleolin [NCL ...] [P19338 ...]"	29.2353787425435	29.1805776613479	29.3016463622893	28.5635670875821	26.4995146228706	26.3304296169473	27.981096884808	28.4291612084148	28.3884677472867	27.6510584962083	27.2022894918694	27.4763832697576	25.8820575291385	25.9462918371092	25.7951017971618	26.1703368577765	26.1891638071379	26.3756993213833	18	-1.69127444444444	0.719587542400352	9	28.8752793144112	-1.58432	-1.97829	-1.82527	-2.68151	-0.55322	-0.535329999999998	-1.81076	-2.24	-2.01277	23
"Ubiquitin-60S ribosomal protein L40 [UBA52 ...] [P62987 ...]"	21.09	-1.65	-2.35	0.03013	0.101697	5.53	0.03013	"Ubiquitin-60S ribosomal protein L40 [UBA52 ...] [P62987 ...]"	21.7755453052373	22.7709659737461	22.7501571640106	21.2940649619689	21.5604861523578	21.2940649619689	22.4084546617819	21.8917106774313	21.4485837581941	18.0682318258165	20.3359735473143	20.5779926315129	21.0884892099534	21.1513087080019	21.3512897488278	21.0084390840881	20.6939337045021	18.0657231439529	18	-1.65029555555556	1.36619451321098	9	22.4850710195024	-3.70732	-2.435	-2.17217	-0.205570000000002	-0.409180000000003	0.057229999999997	-1.40001	-1.19778	-3.38286	24
"Zyxin [ZYX ...] [Q15942 ...]"	28.17	-1.648	-10.22	0	1e-06	104.5	0	"Zyxin [ZYX ...] [Q15942 ...]"	29.0478379282889	28.7996110365934	28.9153296411554	28.8335442704564	28.6760402821721	28.7636909030926	29.3823878814494	29.1465593700575	29.3772695108806	27.1246292240257	27.3962843973979	27.1952681539901	27.2291326426501	27.3934494489665	27.304926827367	27.621439886245	27.4130966288911	27.4351482160675	18	-1.64765444444444	0.228746460142617	9	29.4112730049355	-1.92321	-1.40333	-1.72006	-1.60441	-1.28259	-1.45876	-1.76095	-1.73346	-1.94212	25
"Plasma cell-induced resident endoplasmic reticulum protein [PACAP ...] [Q8WU39 ...]"	24.15	-1.626	-4.22	0.00051	0.004316	17.79	0.00051	"Plasma cell-induced resident endoplasmic reticulum protein [PACAP ...] [Q8WU39 ...]"	25.6693924044563	24.4795723734327	24.1560337044416	23.9211020278699	24.8314056926202	25.4221729398883	25.1992170040049	25.4344600403564	25.5680199191031	23.2419555863499	23.7763635903278	23.3269178189012	23.156152071711	22.9356290681654	23.049122602654	23.1591017084357	23.425748674462	23.9746009391163	18	-1.62619777777778	0.691028271613721	9	25.4681123522591	-2.42743	-0.703209999999999	-0.82911	-0.764949999999999	-1.89578	-2.37305	-2.04012	-2.00871	-1.59342	26
"Protein phosphatase 1 regulatory subunit 14B [PPP1R14B ...] [Q96C90 ...]"	23.48	-1.617	-4.18	0.00055	0.004587	17.46	0.00055	"Protein phosphatase 1 regulatory subunit 14B [PPP1R14B ...] [Q96C90 ...]"	23.7763635903278	24.1868894572282	23.4527774453937	24.4766379416069	23.9554922325009	24.9205375411498	24.9215929951674	24.5111763043162	24.4230714845209	22.4877430672495	22.8649503460103	21.5264563867429	22.506892447016	22.1263979480927	23.2462938131274	23.5535370351942	22.8610144939834	22.9009424124074	18	-1.61670222222222	0.258684376643517	9	24.7800829266026	-1.28862	-1.32194	-1.92632	-1.96975	-1.82909	-1.67425	-1.36805	-1.65017	-1.52213	27
"UPF0368 protein Cxorf26 [CXorf26 ...] [Q9BVG4 ...]"	21.56	-1.506	-1.31	0.20784	0.395031	1.72	0.20784	"UPF0368 protein Cxorf26 [CXorf26 ...] [Q9BVG4 ...]"	23.4357501918054	23.3191024884425	23.1577173503149	NA	18.6851887407029	19.2673902241464	23.595519371139	23.6976438421745	23.6950665985227	22.5138609809567	22.8168788891971	19.4397619532468	NA	18.441738983376	18.6886369743767	22.31528759964	22.2133457042716	19.7194743793083	16	-1.58804875	1.45365856106424	8	23.3748123586962	-0.921889999999998	-0.502219999999998	-3.71796	NA	-0.243449999999999	-0.578749999999999	-1.28023	-1.48429	-3.9756	28
"Granulins [GRN ...] [P28799 ...]"	25.37	-1.583	-8.08	0	8e-06	65.35	0	"Granulins [GRN ...] [P28799 ...]"	25.771552526254	25.6934340006651	25.6936007556892	26.3764470910547	26.3224229335963	26.5467187658269	26.4454916133054	26.1986779899114	26.3584930305831	24.2798340714314	24.2072502493178	24.3860389988874	24.5873033421906	24.4770999732407	24.9341654845443	24.7669582457307	24.5767226032785	24.9481788548695	18	-1.58258666666667	0.175435284649355	9	26.603267283271	-1.49172	-1.48618	-1.30756	-1.78915	-1.84532	-1.61255	-1.67853	-1.62196	-1.41031	29
"Cytochrome c [CYCS ...] [P99999 ...]"	24.58	-1.577	-2.66	0.01591	0.06448	7.07	0.01591	"Cytochrome c [CYCS ...] [P99999 ...]"	25.7017874400457	25.537671244593	25.8352622802054	25.0670732477297	25.5530969007169	25.341122752728	25.962257064469	25.7806481438263	23.5500142590119	23.6203973907319	22.6048991650859	23.6868923103687	23.5771866821615	25.3498239422004	25.1453092287461	22.7202201466244	23.9977613090688	23.4296765521071	18	-1.57741777777778	1.18099547006728	9	25.9550900121199	-2.08139	-2.93277	-2.14837	-1.48988	-0.203279999999999	-0.195810000000002	-3.24204	-1.78289	-0.120329999999999	30
"Coiled-coil domain-containing protein 9 [CCDC9 ...] [Q9Y3X0 ...]"	23.73	-1.543	-1.6	0.12737	0.284501	2.55	0.12737	"Coiled-coil domain-containing protein 9 [CCDC9 ...] [Q9Y3X0 ...]"	24.2629803657694	25.3987696694804	27.1915964605793	22.7736493309795	25.7667808774278	21.1177733494362	25.3704748303405	24.1696744227562	24.443014616705	23.3882500817204	23.3913465340794	23.7871018426743	21.7342482941218	22.9479383130468	21.1200978332073	23.6084013330762	22.7122812726095	23.9212402950774	18	-1.54264333333333	1.08944416784432	9	25.5917085833157	-0.87473	-2.00742	-3.4045	-1.0394	-2.81884	0.00233000000000061	-1.76207	-1.45739	-0.52177	31
"Tubulin-specific chaperone A [TBCA ...] [O75347 ...]"	26.86	-1.535	-2.34	0.03069	0.102645	5.49	0.03069	"Tubulin-specific chaperone A [TBCA ...] [O75347 ...]"	25.8543977410802	25.4684041485574	29.2368994523776	27.3875320984074	27.487138922596	27.5714472025669	28.483999419471	28.5360374364542	28.5805155672628	26.1715525742803	25.7857371847957	26.009307826744	26.1124252997358	26.4364978523465	26.5035236804749	25.8054259755621	25.6698418997944	26.295703513142	18	-1.53515111111111	1.31761463554831	9	28.3703070754547	0.317150000000002	0.317340000000002	-3.22759	-1.2751	-1.05064	-1.06793	-2.67857	-2.8662	-2.28482	32
"Filamin-A [FLNA ...] [P21333 ...]"	30.6	-1.533	-10.15	0	1e-06	103.03	0	"Filamin-A [FLNA ...] [P21333 ...]"	31.368358077105	31.3666834399813	31.3691911950721	31.3658418925378	31.3675221634401	31.3658418925378	31.3733153362525	31.3724959886027	31.3708490998266	29.9920918170197	30.2831720174403	29.8636186325621	29.500076567973	29.5514007671642	29.852744496881	29.8712318113802	29.8682016904576	29.7419050275216	18	-1.53285111111111	0.231738948519904	9	31.8014905890506	-1.37627	-1.08351	-1.50557	-1.86576	-1.81612	-1.5131	-1.50209	-1.5043	-1.62894	33
"Phosphoglycerate mutase 1 [PGAM1 ...] [P18669 ...]"	25.68	-1.522	-4.3	0.00043	0.003958	18.46	0.00043	"Phosphoglycerate mutase 1 [PGAM1 ...] [P18669 ...]"	25.5772842165034	26.6158283792405	26.4707938577243	26.8677581121382	26.1420693780692	26.0250916812281	27.2724795618236	26.5440124505442	26.4763420447192	24.6209698305587	25.0054675065638	24.865610722124	24.5244165891171	25.6550398877842	25.3366724479709	25.2700564106775	24.5412335975623	24.4706016293339	18	-1.52239777777778	0.65872084749114	9	26.9434897659355	-0.956309999999998	-1.61036	-1.60518	-2.34334	-0.487030000000001	-0.688419999999997	-2.00242	-2.00278	-2.00574	34
"Transcription intermediary factor 1-beta [TRIM28 ...] [Q13263 ...]"	26.95	-1.513	-2.17	0.04324	0.130369	4.72	0.04324	"Transcription intermediary factor 1-beta [TRIM28 ...] [Q13263 ...]"	28.2636629172388	26.2004605214717	25.9935772854158	25.9524986918121	28.5213198096896	28.4125521959698	28.7396511984705	28.5860899841678	28.7333750257696	26.7068583614233	25.5880281621821	25.4517141334791	24.9407255031251	26.3700270618458	26.4270810326247	26.833596001114	26.7069064884735	26.7568703919176	18	-1.51348555555556	0.62663060019662	9	28.4624047855622	-1.5568	-0.61243	-0.541870000000003	-1.01177	-2.15129	-1.98547	-1.90605	-1.87918	-1.97651	35
"Fructose-bisphosphate aldolase A [ALDOA ...] [P04075 ...]"	27.6	-1.5	-6.31	1e-05	0.000154	39.79	1e-05	"Fructose-bisphosphate aldolase A [ALDOA ...] [P04075 ...]"	28.9600567102821	29.0949869605259	28.4209122507289	27.967977798035	27.8527079567743	27.9080790150549	28.6929701236675	28.3560930317274	27.9182967985451	27.0481018537772	26.8613295815264	26.8145703384066	26.9134551635661	26.5887235103871	26.5800696380822	27.0344642374424	26.9064799646248	26.9285062854502	18	-1.49959888888889	0.401713099065877	9	28.845233701181	-1.91196	-2.23366	-1.60634	-1.05452	-1.26399	-1.32801	-1.65851	-1.44961	-0.989789999999999	36
"CapZ-interacting protein [RCSD1 ...] [Q6JBY9 ...]"	25.19	-1.485	-5.38	4e-05	0.000638	28.97	4e-05	"CapZ-interacting protein [RCSD1 ...] [Q6JBY9 ...]"	26.0587615335285	26.2983450704697	26.2558485281879	25.8874844271043	25.0768552701186	25.5562188241196	26.3342093620973	26.0645422025097	25.8307602942146	24.4422436425003	24.7056790078581	25.0941011860849	24.2826475026463	23.6471569452581	23.9130400090317	24.7353351181198	24.7672185464095	24.4071157153057	18	-1.48538666666667	0.168735368402715	9	26.4196209758634	-1.61652	-1.59267	-1.16175	-1.60483	-1.4297	-1.64318	-1.59887	-1.29732	-1.42364	37
" [MBNL1 ...] [Q9NR56-5 ...]"	20.87	-1.517	-1.58	0.13462	0.29244	2.48	0.13462	" [MBNL1 ...] [Q9NR56-5 ...]"	19.8626686398759	20.1290330695812	19.1028484101936	23.0350464989196	23.6365056973677	23.5692388926684	20.9533924758266	NA	22.6445416879349	19.1028484101936	17.4498960615719	18.438475761023	21.9872231318792	22.1555839989316	22.2331216688481	18.6750492238339	NA	21.0146108742753	16	-1.48455875	0.705990390190314	8	22.73263027066	-0.759820000000001	-2.67913	-0.664370000000002	-1.04783	-1.48093	-1.33612	-2.27834	NA	-1.62993	38
"Pumilio homolog 1 [PUM1 ...] [Q5T1Z8 ...]"	22.1	-1.328	-1.31	0.20742	0.395031	1.72	0.20742	"Pumilio homolog 1 [PUM1 ...] [Q5T1Z8 ...]"	23.8097201315985	23.9723552085281	23.9710966602977	22.1855260734722	22.819218617685	22.6942508876909	23.9297984161154	NA	19.2560317566758	19.9538870550363	21.1775919649594	20.8954949683507	21.2015023890663	22.1103268719549	21.6929237531586	23.6897395286691	NA	20.2633993931319	16	-1.45664375	1.63484285225512	8	23.5898160040835	-3.85583	-2.79477	-3.07561	-0.984030000000001	-0.70889	-1.00133	-0.24006	NA	1.00737	39
"Poly(rC)-binding protein 1 [PCBP1 ...] [Q15365 ...]"	28.34	-1.453	-9.93	0	1e-06	98.67	0	"Poly(rC)-binding protein 1 [PCBP1 ...] [Q15365 ...]"	29.0980596252205	29.1384566288392	28.9618528030046	29.0425130496996	28.7249085109181	29.0934428689244	29.2444273443423	29.1895045762478	29.1442635933789	27.5097994371395	27.5079282091131	27.3824371181038	27.790246706611	27.8340702696638	27.8873279400767	27.4891214086809	27.5719626425341	27.5870508204426	18	-1.45305222222222	0.2766747163086	9	29.5276510393085	-1.58826	-1.63053	-1.57941	-1.25226	-0.890840000000001	-1.20611	-1.75531	-1.61754	-1.55721	40
