Protein.IDs	avg log2 H/M	std log2 H/M	P-value	N log2 H/M	avg log2 I	Ratio.H.M.count.b1t1	Ratio.H.M.count.b1t2	Ratio.H.M.count.b1t3	Ratio.H.M.count.b2t1	Ratio.H.M.count.b2t2	Ratio.H.M.count.b2t3	Ratio.H.M.count.b3t1	Ratio.H.M.count.b3t2	Ratio.H.M.count.b3t3	Ratio.H.M.count.total
 [PCBP2 ...] [Q15366-3 ...]	0.0867355555555546	0.187119253693407	0.84172	9	26.3745455660957	7	6	10	12	8	10	6	8	6	73
 [PPHLN1 ...] [F8W0Q9 ...]	0.420816666666666	0.464125734930741	0.640995	9	24.4183424586124	9	7	6	3	2	2	5	7	8	49
 [SF1 ...] [H7C0N4 ...]	2.29284888888889	0.864804187669735	0.000554	9	25.0695935715568	1	2	2	4	4	5	3	3	2	26
 [SF1 ...] [H7C561 ...]	0.72945	0.760616482976144	0.488845	9	23.4893583700318	1	1	1	2	5	3	4	1	2	20
 [SH3KBP1 ...] [Q96B97-2 ...]	0.222503333333333	0.206621337596097	0.640995	9	27.5393501260276	24	35	31	23	31	26	35	34	31	270
 [TPM1 ...] [H7BYY1 ...]	-1.29817	1.45000085747758	0.436906	8	23.0878962578107	1	0	4	2	1	1	4	3	4	20
 [TPM3 ...] [P06753-2 ...]	-0.747125555555555	0.222469403745275	0.005891	9	30.6073514578083	73	81	82	69	74	83	93	85	81	721
 [TPM3 ...] [Q5VU58 ...]	-0.12096888888889	0.504289666968412	0.948435	9	23.457241899608	1	1	2	1	1	1	2	3	1	13
10 kDa heat shock protein, mitochondrial [HSPE1 ...] [P61604 ...]	0.320576666666667	0.374705072590431	0.292143	9	27.0392215085713	13	11	12	17	16	17	13	14	15	128
14-3-3 protein beta/alpha [YWHAB ...] [P31946 ...]	-0.856057777777777	0.981986440420357	0.462156	9	21.9781970935623	1	1	1	1	0	1	1	1	1	8
14-3-3 protein epsilon [YWHAE ...] [P62258 ...]	-0.916013333333334	0.979922677689419	0.495316	9	25.2385194482177	5	6	8	2	1	1	3	4	3	33
14-3-3 protein sigma [SFN ...] [P31947 ...]	0.0502533333333327	0.287633475059841	0.936612	9	23.2930974724828	1	1	1	1	1	2	1	1	1	10
14-3-3 protein theta [YWHAQ ...] [P27348 ...]	0.298576666666666	1.3667769490118	0.821518	9	23.9227858823867	2	2	3	2	2	1	2	3	1	18
14-3-3 protein zeta/delta [YWHAZ ...] [P63104 ...]	-0.692216666666667	0.767292102852622	0.305119	9	28.4359117147796	29	23	25	15	14	16	21	17	16	176
14 kDa phosphohistidine phosphatase [PHPT1 ...] [Q9NRX4 ...]	-2.70639888888889	0.879167711580738	0.000196	9	24.9220347118838	2	3	1	2	3	4	3	4	3	25
26S proteasome non-ATPase regulatory subunit 4 [PSMD4 ...] [P55036 ...]	-0.653601111111111	0.310906789787729	0.193344	9	26.0188510253836	8	7	6	4	4	4	6	7	6	52
26S proteasome non-ATPase regulatory subunit 9 [PSMD9 ...] [O00233 ...]	-0.189256666666666	0.978371894897333	0.769491	9	26.5632454604523	8	8	12	6	10	9	12	11	9	85
40S ribosomal protein S12 [RPS12 ...] [P25398 ...]	-1.09135222222222	0.382178867736621	0.001865	9	28.7543489378576	27	30	30	32	30	32	23	21	24	249
40S ribosomal protein S21 [RPS21 ...] [P63220 ...]	0.401356666666667	0.222486270194363	0.466331	9	27.7331850300178	14	15	14	19	16	18	14	13	17	140
40S ribosomal protein S28 [RPS28 ...] [P62857 ...]	0.03099	0.334129209662968	0.948435	9	26.9308597848844	9	9	10	10	8	10	11	9	10	86
40S ribosomal protein S30 [FAU ...] [E9PR30 ...]	0.86155	0.706303015355307	0.373192	9	23.8531367597051	2	2	3	2	3	2	1	1	1	17
40S ribosomal protein S3a [RPS3A ...] [P61247 ...]	0.0155499999999999	1.3919621345694	0.993174	9	23.6591199875216	3	2	2	2	3	2	2	1	3	20
4F2 cell-surface antigen heavy chain [SLC3A2 ...] [P08195-4 ...]	-0.354158333333334	0.415033190114558	0.640467	6	22.2880702358198	2	2	3	0	0	0	3	2	2	14
60 kDa heat shock protein, mitochondrial [HSPD1 ...] [P10809 ...]	0.116253333333334	0.156325961615466	0.617461	9	27.5520289455974	34	31	32	32	30	30	32	34	28	283
60S acidic ribosomal protein P2 [RPLP2 ...] [P05387 ...]	0.259826666666666	0.184322599808055	0.622909	9	26.3753786465583	10	12	14	8	7	6	7	10	9	83
78 kDa glucose-regulated protein [HSPA5 ...] [P11021 ...]	0.687898888888888	0.274177058187061	0.070131	9	29.0945541979	46	56	51	31	26	24	44	42	43	363
A-kinase anchor protein 13 [AKAP13 ...] [Q12802 ...]	-0.297474444444444	0.305747985279998	0.576186	9	26.7103555020841	19	18	19	14	13	12	15	14	18	142
A-kinase anchor protein 2 [AKAP2 ...] [Q9Y2D5-4 ...]	-1.90437666666667	1.48022115341762	0.057462	9	23.4434376724918	2	2	3	3	1	1	1	2	1	16
Actin-binding LIM protein 1 [ABLIM1 ...] [H0Y3K7 ...]	0.338034444444445	0.550429290556724	0.560436	9	26.7102263236204	10	8	11	14	10	13	12	12	13	103
Actin-related protein 2/3 complex subunit 5 [ARPC5 ...] [O15511 ...]	-0.377226666666666	0.367689991806958	0.5682	9	24.5713883531641	4	5	7	7	5	6	6	5	5	50
Actin, alpha cardiac muscle 1 [ACTC1 ...] [P68032 ...]	-1.83218666666667	0.777878345758513	0.068211	9	25.0776661067789	4	2	2	2	3	2	2	1	2	20
Actin, cytoplasmic 2 [ACTG1 ...] [P63261 ...]	-0.709887777777778	0.604576690705526	0.488845	9	24.4074162094132	3	3	3	3	5	4	2	1	1	25
Activated RNA polymerase II transcriptional coactivator p15 [SUB1 ...] [P53999 ...]	-1.22170555555555	0.834969477407875	0.002245	9	29.0860533001919	28	27	25	16	10	17	23	23	25	194
Acyl-CoA-binding protein [DBI ...] [P07108 ...]	-2.25589222222222	1.10566710275717	0.003531	9	27.4014426291806	11	6	9	8	12	10	7	12	12	87
Adaptin ear-binding coat-associated protein 2 [NECAP2 ...] [Q9NVZ3 ...]	-0.144476666666667	0.697000261926063	0.858805	9	25.2836530868011	6	9	4	5	6	7	3	5	6	51
Adenylate kinase 2, mitochondrial [AK2 ...] [P54819 ...]	-0.270173333333334	0.42259404811237	0.640749	9	25.4518089448494	10	12	13	9	9	13	11	8	8	93
Adenylyl cyclase-associated protein 1 [CAP1 ...] [Q01518 ...]	-0.812284444444445	0.60956324700787	0.157984	9	26.4960929209628	21	16	19	16	16	17	18	18	18	159
ADP-ribosylation factor GTPase-activating protein 2 [ARFGAP2 ...] [Q8N6H7 ...]	0.229117777777778	0.302354382049351	0.74918	9	24.3472878097267	2	5	2	6	4	5	5	4	4	37
Adrenodoxin, mitochondrial [FDX1 ...] [P10109 ...]	-0.021317777777778	1.22256972921566	0.990267	9	23.1104171579849	1	0	1	2	2	1	1	2	1	11
Alpha-actinin-1 [ACTN1 ...] [P12814 ...]	-0.986497777777778	0.695215659683702	0.190791	9	24.9925804697764	11	10	10	3	6	4	9	7	10	70
Alpha-actinin-4 [ACTN4 ...] [O43707 ...]	-0.269424444444444	0.656546365463077	0.655672	9	27.668049296915	34	39	37	10	12	15	27	32	26	232
Alpha-endosulfine [ENSA ...] [O43768 ...]	0.349393333333334	0.192997551409339	0.404095	9	25.077914238417	3	5	2	3	4	5	4	5	3	34
Alpha-enolase [ENO1 ...] [P06733 ...]	-0.604862222222222	0.219208906398542	0.169946	9	28.8885380316033	31	30	29	30	29	30	29	29	24	261
Aminoacyl tRNA synthase complex-interacting multifunctional protein 1 [AIMP1 ...] [Q12904-2 ...]	-0.245603333333333	0.996322420416704	0.730106	9	27.5036477201533	6	8	9	10	12	11	11	8	9	84
AN1-type zinc finger protein 5 [ZFAND5 ...] [O76080 ...]	0.505852222222222	0.150368151446523	0.462156	9	26.1392061141484	2	2	1	5	5	3	3	4	4	29
Annexin A1 [ANXA1 ...] [P04083 ...]	-0.284503333333333	0.57205343225087	0.705267	9	27.746040532267	25	22	24	24	21	25	20	19	22	202
Annexin A2 [ANXA2 ...] [P07355-2 ...]	-1.37076444444444	0.300566112573886	0.001865	9	27.3225113144776	21	13	20	16	19	16	17	14	16	152
Apoptotic chromatin condensation inducer in the nucleus [ACIN1 ...] [E7EQT4 ...]	1.34958111111111	1.09771758828768	0.320132	9	28.8864718653129	20	26	32	13	15	13	20	22	18	179
Arginine-glutamic acid dipeptide repeats protein [RERE ...] [Q9P2R6 ...]	-3.04715555555556	0.48736579650482	1e-06	9	24.2056309620521	2	1	2	2	2	2	2	2	1	16
Astrocytic phosphoprotein PEA-15 [PEA15 ...] [Q15121 ...]	-0.849843333333333	0.806343982677368	0.29244	9	24.5441583862256	4	3	2	3	3	2	3	4	3	27
AT-hook-containing transcription factor [AKNA ...] [Q7Z591 ...]	0.387915555555556	1.1991150514662	0.788434	9	25.8016803144917	8	11	15	2	3	2	5	7	5	58
Ataxin-2-like protein [ATXN2L ...] [Q8WWM7 ...]	1.53065222222222	0.544665531422216	0.017778	9	27.5186774344169	11	13	14	15	12	9	12	13	9	108
ATP-dependent RNA helicase DDX3X [DDX3X ...] [O00571 ...]	2.48161666666667	0.871855722166803	0.004199	9	26.5190714062459	8	9	8	12	10	11	13	10	6	87
ATP synthase-coupling factor 6, mitochondrial [ATP5J ...] [P18859 ...]	-0.592617777777778	0.631062559850008	0.376014	9	25.24764421887	3	5	4	6	6	3	4	3	3	37
ATP synthase subunit alpha, mitochondrial [ATP5A1 ...] [P25705 ...]	-0.379555555555555	1.1963385254299	0.74918	9	26.437583298867	9	7	6	11	11	10	9	8	8	79
ATP synthase subunit beta, mitochondrial [ATP5B ...] [P06576 ...]	0.900677777777777	1.54515446576368	0.491528	9	26.7612084465748	13	11	8	8	5	7	7	9	9	77
ATP synthase subunit delta, mitochondrial [ATP5D ...] [P30049 ...]	0.0825933333333337	0.447406413510133	0.88418	9	23.8724068302846	2	1	2	2	2	3	2	2	1	17
B-cell CLL/lymphoma 9-like protein [BCL9L ...] [Q86UU0 ...]	-0.30919111111111	0.286431796089596	0.46728	9	28.3127686483748	25	23	20	29	30	23	21	27	23	221
B-cell lymphoma/leukemia 10 [BCL10 ...] [O95999 ...]	1.21546888888889	0.474816364567515	0.054127	9	24.3102582586113	2	2	2	2	4	4	4	2	3	25
B-cell lymphoma/leukemia 11B [BCL11B ...] [Q9C0K0 ...]	-0.830303333333333	0.666115209254375	0.318293	9	24.9937248373954	8	11	11	5	1	2	7	8	6	59
BAG family molecular chaperone regulator 3 [BAG3 ...] [O95817 ...]	1.25913333333333	0.216753634456265	0.000554	9	26.4447407036138	9	10	6	12	8	9	11	9	11	85
Basic leucine zipper and W2 domain-containing protein 1 [BZW1 ...] [Q7L1Q6-3 ...]	1.388	0.627246052857249	0.120378	9	23.9066784655552	2	3	2	2	1	2	3	2	2	19
BCL-6 corepressor [BCOR ...] [Q6W2J9 ...]	0.229085555555555	0.0806437184644763	0.76789	9	25.861074108474	4	5	3	8	8	7	5	5	3	48
Beta-2-microglobulin [B2M ...] [P61769 ...]	0.00382999999999909	0.32821575145017	0.993174	9	28.6071508195062	10	12	13	10	8	9	9	10	12	93
BH3-interacting domain death agonist [BID ...] [P55957-2 ...]	-1.89163777777778	1.06410349902838	0.025673	9	24.9662976914834	4	2	1	7	9	5	3	3	2	36
Biogenesis of lysosome-related organelles complex 1 subunit 2 [BLOC1S2 ...] [Q6QNY1 ...]	-0.628068333333333	0.401953382292856	0.643304	6	22.1005151259849	1	1	2	1	0	0	2	1	0	8
Biorientation of chromosomes in cell division protein 1-like 1 [BOD1L1 ...] [Q8NFC6 ...]	-0.240143333333333	0.691559268392811	0.72189	9	26.562840261964	19	24	24	11	9	12	21	20	14	154
C-C motif chemokine 5 [CCL5 ...] [P13501 ...]	-0.373838888888889	0.360194351026097	0.320132	9	25.6551798139966	2	2	2	2	2	3	2	2	2	19
Calmodulin [CALM2 ...] [H0Y7A7 ...]	0.763511111111111	0.21831669894012	0.004513	9	28.3493576226296	17	17	14	14	16	16	13	17	18	142
Calpain small subunit 1 [CAPNS1 ...] [P04632 ...]	-0.739632222222224	0.366760716843345	0.283904	9	24.1444827225455	7	8	7	4	3	6	5	8	8	56
Calpastatin [CAST ...] [P20810-6 ...]	0.293681111111111	0.325036825623053	0.305119	9	28.1647393510938	31	30	27	21	30	29	30	35	30	263
Calponin-2 [CNN2 ...] [B4DUT8 ...]	-0.693942222222223	0.391035213944274	0.024776	9	28.0556015003229	26	26	31	33	27	32	28	30	33	266
cAMP-dependent protein kinase type I-alpha regulatory subunit [PRKAR1A ...] [P10644 ...]	-0.245805555555556	0.527449780811195	0.561745	9	22.0242325463867	1	1	1	1	1	1	1	1	1	9
cAMP-regulated phosphoprotein 19 [ARPP19 ...] [H3BMD8 ...]	-0.685762499999999	2.10564136565662	0.623142	8	21.4393656537923	1	1	1	1	1	2	1	0	1	9
Caprin-1 [CAPRIN1 ...] [Q14444 ...]	-0.281478888888889	0.828787708123202	0.904212	9	27.4906879044099	9	11	13	2	3	3	6	5	7	59
CapZ-interacting protein [RCSD1 ...] [Q6JBY9 ...]	-1.48538666666667	0.168735368402715	0.000638	9	26.4196209758634	7	10	10	7	10	7	6	8	6	71
Cathepsin L1 [CTSL1 ...] [P07711 ...]	-0.450025	0.239871424070718	0.790311	8	24.2134897007581	2	1	0	1	1	1	1	2	2	11
CCR4-NOT transcription complex subunit 2 [CNOT2 ...] [Q9NZN8 ...]	0.732553333333334	0.61663738483407	0.248354	9	23.4860720746553	1	3	2	3	3	2	1	1	2	18
CD44 antigen [CD44 ...] [P16070 ...]	0.435296666666667	0.3234107363323	0.318122	9	27.2049536792506	10	11	7	5	6	9	6	7	7	68
CD97 antigen [CD97 ...] [P48960 ...]	0.32002	0.809900971338472	0.760413	9	25.296768440233	8	9	8	4	2	4	10	8	8	61
CDC42 small effector protein 1 [CDC42SE1 ...] [Q9NRR8 ...]	-0.156057142857143	0.779348003006664	0.958313	7	21.6937786062096	0	0	1	4	2	1	1	1	1	11
CDKN2A-interacting protein [CDKN2AIP ...] [Q9NXV6 ...]	-0.891814444444444	1.39058566563796	0.439263	9	24.5067297678626	4	2	2	3	3	4	3	4	2	27
Centriolin [CNTRL ...] [F5GZN0 ...]	-0.229723333333333	1.27631438193991	0.927587	6	23.6494929696412	8	7	6	0	0	0	2	0	1	24
Charged multivesicular body protein 1a [CHMP1A ...] [Q9HD42 ...]	0.0135888888888888	0.130503403829598	0.971738	9	25.8231125948791	5	5	5	6	6	5	6	6	7	51
Charged multivesicular body protein 1b [CHMP1B ...] [Q7LBR1 ...]	1.31909555555556	0.286468540816924	0.003447	9	26.1248466761323	7	7	6	8	8	7	6	6	6	61
Charged multivesicular body protein 2a [CHMP2A ...] [O43633 ...]	0.825704444444445	0.457902260370898	0.109614	9	24.4784963911539	2	3	3	7	2	6	5	6	4	38
Charged multivesicular body protein 2b [CHMP2B ...] [Q9UQN3 ...]	-0.53556	1.23662614955976	0.691059	9	25.472107510096	1	3	2	5	4	3	4	2	3	27
Charged multivesicular body protein 4a [CHMP4A ...] [Q14D22 ...]	1.01318222222222	0.34890683519307	0.029143	9	25.3733507494513	5	4	4	4	4	6	4	5	7	43
Charged multivesicular body protein 4b [CHMP4B ...] [Q9H444 ...]	-0.356606666666667	0.380217647473128	0.287501	9	27.8922736481021	16	14	14	15	12	14	11	15	16	127
Charged multivesicular body protein 5 [CHMP5 ...] [Q9NZZ3 ...]	0.496621111111112	0.371937000560729	0.511154	9	24.5674986382018	4	2	2	6	6	5	4	5	3	37
Chromatin complexes subunit BAP18 [C17orf49 ...] [H0YIS7 ...]	-0.431813333333333	0.622967722398199	0.404095	9	25.2958203682966	5	7	8	8	9	8	6	6	6	63
Chromobox protein homolog 3 [CBX3 ...] [Q13185 ...]	-0.614306666666667	0.206486715008496	0.055115	9	27.0129572235204	20	21	20	16	17	13	23	19	20	169
Chromosome transmission fidelity protein 8 homolog isoform 2 [CHTF8 ...] [P0CG12 ...]	-0.526164444444444	1.01188757975023	0.750082	9	24.9019259972719	1	1	3	6	5	7	4	3	1	31
Clathrin interactor 1 [CLINT1 ...] [Q14677-3 ...]	-0.790437777777778	1.01159310292946	0.373192	9	24.9839191807468	8	6	6	5	4	3	4	3	3	42
Clathrin light chain A [CLTA ...] [P09496-2 ...]	0.195387777777778	0.120387182330364	0.467248	9	26.8950639502434	12	12	13	15	13	16	13	14	13	121
Cleavage stimulation factor subunit 2 [CSTF2 ...] [P33240 ...]	0.586041111111112	0.515020906285474	0.130369	9	27.5166669796893	12	10	12	13	18	17	14	13	15	124
Cleavage stimulation factor subunit 2 tau variant [CSTF2T ...] [Q9H0L4 ...]	0.952693333333334	0.325557671695816	0.017353	9	25.3816470588595	3	3	3	5	4	4	4	4	5	35
Coatomer subunit zeta-1 [COPZ1 ...] [F8VVA7 ...]	-0.142211111111112	0.423603782574129	0.927063	9	22.2673446300494	2	2	2	2	1	1	2	2	2	16
Cofilin-1 [CFL1 ...] [E9PK25 ...]	-0.735698888888889	0.203130564935735	0.025673	9	30.3526325791539	44	46	46	51	44	46	43	46	45	411
Coiled-coil-helix-coiled-coil-helix domain-containing protein 2, mitochondrial [CHCHD2 ...] [Q9Y6H1 ...]	0.651525555555556	0.168391337003356	0.153153	9	27.8789470937349	4	4	6	5	5	5	5	7	7	48
Coiled-coil-helix-coiled-coil-helix domain-containing protein 8 [CHCHD8 ...] [Q9NYJ1-2 ...]	0.16776	0.484022298659886	0.927063	9	22.9813096528491	2	2	1	1	1	1	1	1	1	11
Coiled-coil domain-containing protein 50 [CCDC50 ...] [Q8IVM0 ...]	-2.40682666666667	2.43267524301436	0.109005	9	26.2752824244031	4	2	2	6	3	2	2	3	3	27
Coiled-coil domain-containing protein 9 [CCDC9 ...] [Q9Y3X0 ...]	-1.54264333333333	1.08944416784432	0.284501	9	25.5917085833157	6	5	6	2	4	3	7	4	4	41
Cold-inducible RNA-binding protein [CIRBP ...] [Q14011 ...]	0.463127777777778	0.188624692960505	0.29244	9	27.3551309101447	10	9	9	15	14	19	13	8	10	107
Copper chaperone for superoxide dismutase [CCS ...] [O14618 ...]	-0.0459077777777787	0.506955918147175	0.943583	9	25.3420540856463	9	7	6	12	6	10	6	8	6	70
CREB-binding protein [CREBBP ...] [Q92793 ...]	-0.247374444444445	0.68475835383935	0.74918	9	24.2983533256147	2	2	3	4	5	6	4	5	5	36
Crk-like protein [CRKL ...] [P46109 ...]	0.0293455555555558	0.240388991902246	0.936612	9	26.249143117042	11	11	12	12	15	14	10	14	14	113
CUGBP Elav-like family member 2 [CELF2 ...] [E9PC62 ...]	0.0571988888888887	0.419622354637013	0.927063	9	26.428411785204	16	12	12	14	18	16	13	14	15	130
Cyclic AMP-dependent transcription factor ATF-1 [ATF1 ...] [P18846 ...]	1.18780666666667	0.449623766220158	0.093709	9	25.238342231174	4	6	5	4	3	5	5	5	4	41
Cyclic AMP-responsive element-binding protein 1 [CREB1 ...] [P16220 ...]	-0.120072222222222	0.591206428622393	0.769491	9	24.6852292861117	2	3	3	6	5	5	4	3	4	35
Cyclin-dependent kinase inhibitor 1 [CDKN1A ...] [P38936 ...]	3.05828857142857	1.07649322811663	0.035444	7	25.0080852879643	2	1	1	2	3	3	1	0	0	13
Cyclin-dependent kinase inhibitor 1B [CDKN1B ...] [P46527 ...]	0.498337777777778	0.277996728567882	0.087693	9	26.8894455319938	9	7	9	10	8	11	12	10	8	84
Cytochrome b-c1 complex subunit 7 [UQCRB ...] [P14927 ...]	0.427637777777777	0.295712875344385	0.483084	9	24.7032604479584	3	5	9	6	8	6	6	6	6	55
Cytochrome b-c1 complex subunit Rieske, mitochondrial [UQCRFS1 ...] [P47985 ...]	-1.14673555555555	1.2502799880138	0.254548	9	25.049018570203	2	2	1	4	2	3	2	4	3	23
Cytochrome c [CYCS ...] [P99999 ...]	-1.57741777777778	1.18099547006728	0.06448	9	25.9550900121199	6	4	6	7	16	13	4	6	4	66
Cytochrome c oxidase assembly protein COX19 [COX19 ...] [Q49B96 ...]	-0.342617777777778	0.388104915157543	0.536445	9	23.4905396564646	2	2	2	3	2	3	2	1	2	19
Cytochrome c oxidase copper chaperone [COX17 ...] [C9J8T6 ...]	-0.441776666666666	0.517115304550156	0.460136	9	22.2968025601978	1	2	2	1	2	2	2	1	2	15
Cytochrome c oxidase subunit 5A, mitochondrial [COX5A ...] [P20674 ...]	-0.940092222222223	0.539571532972639	0.004087	9	26.7529744726091	9	11	10	13	13	12	12	10	11	101
Cytochrome c oxidase subunit 6B1 [COX6B1 ...] [P14854 ...]	2.63317222222222	1.6965040326122	0.043845	9	27.881419635783	10	6	7	6	9	8	10	9	8	73
Cytochrome c oxidase subunit 7C, mitochondrial [COX7C ...] [P15954 ...]	-0.414478888888889	0.648251965046085	0.467248	9	23.0074136706724	1	1	1	3	2	1	1	1	1	12
Cytosol aminopeptidase [LAP3 ...] [P28838 ...]	0.883457777777778	1.16516302097365	0.191419	9	26.6883942158265	9	10	10	8	10	7	11	5	7	77
D-dopachrome decarboxylase [DDT ...] [P30046 ...]	1.12426555555556	0.4801811296821	0.019153	9	24.6171543820869	4	4	4	4	6	6	4	6	2	40
DAZ-associated protein 2 [DAZAP2 ...] [Q15038 ...]	1.10072375	0.341130596397061	0.212482	8	24.6705678290987	0	2	1	2	3	3	2	3	3	19
Deoxyuridine 5-triphosphate nucleotidohydrolase, mitochondrial [DUT ...] [P33316 ...]	-3.25283111111111	0.575892231269107	1e-06	9	27.2919335436292	6	6	8	7	7	9	5	6	6	60
Destrin [DSTN ...] [P60981 ...]	-1.33485777777778	0.760616550697158	0.133206	9	23.885521361389	2	2	3	3	2	2	4	4	3	25
DNA-binding protein Ikaros [IKZF1 ...] [Q13422 ...]	-0.336093333333333	0.48874088919897	0.466019	9	26.6665083837525	10	10	11	10	13	11	12	14	12	103
DNA-directed RNA polymerases I, II, and III subunit RPABC4 [POLR2K ...] [P53803 ...]	0.985325555555555	0.779199117461498	0.269294	9	22.6224471344286	1	1	1	2	2	3	3	1	1	15
DnaJ homolog subfamily A member 1 [DNAJA1 ...] [P31689 ...]	1.81517428571429	0.835638358359586	0.021787	7	22.2194999586808	3	2	2	2	3	0	0	1	1	14
DnaJ homolog subfamily B member 1 [DNAJB1 ...] [P25685 ...]	1.46652111111111	0.526420317152664	0.005321	9	25.0337214076518	5	4	5	9	7	9	4	6	9	58
DnaJ homolog subfamily C member 17 [DNAJC17 ...] [Q9NVM6 ...]	0.840837777777778	0.63721803187327	0.450984	9	22.4170656638831	2	2	1	1	2	3	2	2	2	17
DnaJ homolog subfamily C member 8 [DNAJC8 ...] [O75937 ...]	-0.317596666666667	0.393790234325332	0.511154	9	26.0593948288579	9	10	12	14	12	11	12	10	10	100
Double-stranded RNA-binding protein Staufen homolog 1 [STAU1 ...] [O95793 ...]	0.579935	1.31946093492759	0.6592	8	23.1869126900917	1	0	1	4	7	4	2	1	1	21
Double-stranded RNA-specific adenosine deaminase [ADAR ...] [E7ENU4 ...]	-0.424775555555556	0.974323462910432	0.604566	9	26.7560293297591	16	15	13	14	18	17	10	11	12	126
Drebrin-like protein [DBNL ...] [Q9UJU6 ...]	2.58950666666667	1.54066667077113	0.017353	9	29.9360069212786	36	32	29	30	25	28	32	32	29	273
Dynactin subunit 2 [DCTN2 ...] [F5H2S7 ...]	-3.33363777777778	1.78013630133185	0.068211	9	27.0903296249786	6	5	6	3	1	1	4	6	5	37
Dynein light chain roadblock-type 1 [DYNLRB1 ...] [B1AKR6 ...]	0.651560000000001	0.31673634039213	0.195355	9	24.4971048844711	2	4	3	4	2	1	3	4	3	26
E3 SUMO-protein ligase EGR2 [EGR2 ...] [P11161 ...]	3.55432222222222	0.576577207531172	1e-06	9	30.3963832796459	15	17	16	27	27	24	22	19	14	181
E3 ubiquitin-protein ligase RBBP6 [RBBP6 ...] [Q7Z6E9 ...]	-0.351782222222222	0.475461183898795	0.373192	9	25.1400110222207	6	9	7	10	8	9	9	9	10	77
Early growth response protein 1 [EGR1 ...] [P18146 ...]	2.66650333333333	0.348286375164175	0	9	31.3910804035309	17	14	14	15	18	16	17	16	18	145
Early growth response protein 3 [EGR3 ...] [Q06889 ...]	3.46776333333333	0.575900483405482	0.151221	6	25.7925780739564	0	0	0	2	4	3	2	2	3	16
EF-hand domain-containing protein D2 [EFHD2 ...] [Q96C19 ...]	1.06284333333333	1.54528920688815	0.397577	9	28.0352717226136	17	13	13	15	15	14	13	13	14	127
EH domain-containing protein 1 [EHD1 ...] [Q9H4M9 ...]	-0.657656666666666	0.777986677842236	0.408837	9	22.2301910978018	2	2	1	2	1	2	1	1	1	13
ELAV-like protein 1 [ELAVL1 ...] [Q15717 ...]	-0.256923333333333	0.583888812210852	0.724947	9	25.3197816294361	4	12	9	10	10	13	7	7	8	80
