Protein IDs	Majority protein IDs	Peptide counts (all)	Peptide counts (razor+unique)	Peptide counts (unique)	Protein names	Gene names	Fasta headers	Proteins	Peptides	Razor + unique peptides	Unique peptides	Peptides b1t1	Peptides b1t2	Peptides b1t3	Peptides b2t1	Peptides b2t2	Peptides b2t3	Peptides b3t1	Peptides b3t2	Peptides b3t3	Razor + unique peptides b1t1	Razor + unique peptides b1t2	Razor + unique peptides b1t3	Razor + unique peptides b2t1	Razor + unique peptides b2t2	Razor + unique peptides b2t3	Razor + unique peptides b3t1	Razor + unique peptides b3t2	Razor + unique peptides b3t3	Unique peptides b1t1	Unique peptides b1t2	Unique peptides b1t3	Unique peptides b2t1	Unique peptides b2t2	Unique peptides b2t3	Unique peptides b3t1	Unique peptides b3t2	Unique peptides b3t3	Sequence coverage [%]	Unique + razor sequence coverage [%]	Unique sequence coverage [%]	Mol. weight [kDa]	Sequence length	Sequence lengths	Slice average	Slice 1	Experiment b1t1	Experiment b1t2	Experiment b1t3	Experiment b2t1	Experiment b2t2	Experiment b2t3	Experiment b3t1	Experiment b3t2	Experiment b3t3	PEP	Ratio H/L	Ratio H/L normalized	Ratio H/L variability [%]	Ratio H/L count	Ratio H/L b1t1	Ratio H/L normalized b1t1	Ratio H/L variability [%] b1t1	Ratio H/L count b1t1	Ratio H/L b1t2	Ratio H/L normalized b1t2	Ratio H/L variability [%] b1t2	Ratio H/L count b1t2	Ratio H/L b1t3	Ratio H/L normalized b1t3	Ratio H/L variability [%] b1t3	Ratio H/L count b1t3	Ratio H/L b2t1	Ratio H/L normalized b2t1	Ratio H/L variability [%] b2t1	Ratio H/L count b2t1	Ratio H/L b2t2	Ratio H/L normalized b2t2	Ratio H/L variability [%] b2t2	Ratio H/L count b2t2	Ratio H/L b2t3	Ratio H/L normalized b2t3	Ratio H/L variability [%] b2t3	Ratio H/L count b2t3	Ratio H/L b3t1	Ratio H/L normalized b3t1	Ratio H/L variability [%] b3t1	Ratio H/L count b3t1	Ratio H/L b3t2	Ratio H/L normalized b3t2	Ratio H/L variability [%] b3t2	Ratio H/L count b3t2	Ratio H/L b3t3	Ratio H/L normalized b3t3	Ratio H/L variability [%] b3t3	Ratio H/L count b3t3	Sequence coverage b1t1 [%]	Sequence coverage b1t2 [%]	Sequence coverage b1t3 [%]	Sequence coverage b2t1 [%]	Sequence coverage b2t2 [%]	Sequence coverage b2t3 [%]	Sequence coverage b3t1 [%]	Sequence coverage b3t2 [%]	Sequence coverage b3t3 [%]	Intensity	Intensity L	Intensity H	Intensity b1t1	Intensity L b1t1	Intensity H b1t1	Intensity b1t2	Intensity L b1t2	Intensity H b1t2	Intensity b1t3	Intensity L b1t3	Intensity H b1t3	Intensity b2t1	Intensity L b2t1	Intensity H b2t1	Intensity b2t2	Intensity L b2t2	Intensity H b2t2	Intensity b2t3	Intensity L b2t3	Intensity H b2t3	Intensity b3t1	Intensity L b3t1	Intensity H b3t1	Intensity b3t2	Intensity L b3t2	Intensity H b3t2	Intensity b3t3	Intensity L b3t3	Intensity H b3t3	Only identified by site	Reverse	Contaminant	id	Peptide IDs	Peptide is razor	Mod. peptide IDs	Evidence IDs	MS/MS IDs	Best MS/MS	Oxidation (M) site IDs	Oxidation (M) site positions
Q9NXV6;D6RGD2	Q9NXV6;D6RGD2	2;2	2;2	2;2	CDKN2A-interacting protein	CDKN2AIP	>sp|Q9NXV6|CARF_HUMAN CDKN2A-interacting protein OS=Homo sapiens GN=CDKN2AIP PE=1 SV=3;>tr|D6RGD2|D6RGD2_HUMAN CDKN2A-interacting protein OS=Homo sapiens GN=CDKN2AIP PE=4 SV=1	2	2	2	2	0	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	3.8	3.8	3.8	61.124	580	580;135	1	2				2						0.0018591	NaN	NaN	NaN	1	NaN	NaN	NaN	0	NaN	NaN	NaN	0	NaN	NaN	NaN	0	NaN	NaN	NaN	1	NaN	NaN	NaN	0	NaN	NaN	NaN	0	NaN	NaN	NaN	0	NaN	NaN	NaN	0	NaN	NaN	NaN	0	0	0	0	3.8	0	0	0	0	0	5349500	1485500	3863900	0	0	0	0	0	0	0	0	0	5349500	1485500	3863900	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				143	239;2216	True;True	245;2275	1070;10007	1132;10446	1132;10446		
Q14498;Q14498-2;Q14498-3;G3XAC6;E1P5S2;H0Y4X3	Q14498;Q14498-2;Q14498-3;G3XAC6;E1P5S2;H0Y4X3	1;1;1;1;1;1	1;1;1;1;1;1	1;1;1;1;1;1	RNA-binding protein 39	RBM39	>sp|Q14498|RBM39_HUMAN RNA-binding protein 39 OS=Homo sapiens GN=RBM39 PE=1 SV=2;>sp|Q14498-2|RBM39_HUMAN Isoform 2 of RNA-binding protein 39 OS=Homo sapiens GN=RBM39;>sp|Q14498-3|RBM39_HUMAN Isoform 3 of RNA-binding protein 39 OS=Homo sapiens GN=RBM39;>tr	6	1	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	3.2	3.2	3.2	59.379	530	530;524;508;423;373;337	1	1					1					0.0012495	NaN	NaN	NaN	0	NaN	NaN	NaN	0	NaN	NaN	NaN	0	NaN	NaN	NaN	0	NaN	NaN	NaN	0	NaN	NaN	NaN	0	NaN	NaN	NaN	0	NaN	NaN	NaN	0	NaN	NaN	NaN	0	NaN	NaN	NaN	0	0	0	0	0	3.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				144	2060	True	2115	9254	9619	9619		
Q8N3C0;Q8N3C0-4;E5RFZ0	Q8N3C0;Q8N3C0-4;E5RFZ0	1;1;1	1;1;1	1;1;1	Activating signal cointegrator 1 complex subunit 3	ASCC3	>sp|Q8N3C0|ASCC3_HUMAN Activating signal cointegrator 1 complex subunit 3 OS=Homo sapiens GN=ASCC3 PE=1 SV=3;>sp|Q8N3C0-4|ASCC3_HUMAN Isoform 3 of Activating signal cointegrator 1 complex subunit 3 OS=Homo sapiens GN=ASCC3;>tr|E5RFZ0|E5RFZ0_HUMAN Activatin	3	1	1	1	1	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	1.2	1.2	1.2	251.46	2202	2202;731;176	1	2	1					1				0.004166	NaN	NaN	NaN	2	NaN	NaN	NaN	1	NaN	NaN	NaN	0	NaN	NaN	NaN	0	NaN	NaN	NaN	0	NaN	NaN	NaN	0	NaN	NaN	NaN	1	NaN	NaN	NaN	0	NaN	NaN	NaN	0	NaN	NaN	NaN	0	1.2	0	0	0	0	1.2	0	0	0	101410000	40770000	60639000	63171000	21359000	41811000	0	0	0	0	0	0	0	0	0	0	0	0	38238000	19410000	18827000	0	0	0	0	0	0	0	0	0				145	595	True	610	2840;2841	2972;2973	2972	10	118
E5RGQ1;E5RG34	E5RGQ1;E5RG34	1;1	1;1	1;1		TCF7	>tr|E5RGQ1|E5RGQ1_HUMAN Transcription factor 7 (Fragment) OS=Homo sapiens GN=TCF7 PE=4 SV=1;>tr|E5RG34|E5RG34_HUMAN Transcription factor 7 (Fragment) OS=Homo sapiens GN=TCF7 PE=4 SV=1	2	1	1	1	0	0	0	1	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	1	0	0	0	0	9.5	9.5	9.5	18.199	168	168;153	1	2				1	1					1.15E-32	NaN	NaN	NaN	1	NaN	NaN	NaN	0	NaN	NaN	NaN	0	NaN	NaN	NaN	0	NaN	NaN	NaN	0	NaN	NaN	NaN	1	NaN	NaN	NaN	0	NaN	NaN	NaN	0	NaN	NaN	NaN	0	NaN	NaN	NaN	0	0	0	0	9.5	9.5	0	0	0	0	5621200	1884000	3737200	0	0	0	0	0	0	0	0	0	0	0	0	5621200	1884000	3737200	0	0	0	0	0	0	0	0	0	0	0	0				146	1709	True	1759	7688;7689	7974;7975	7974		
O60925;E5RGS4;D6RGG5	O60925;E5RGS4	3;3;1	3;3;1	3;3;1	Prefoldin subunit 1	PFDN1	>sp|O60925|PFD1_HUMAN Prefoldin subunit 1 OS=Homo sapiens GN=PFDN1 PE=1 SV=2;>tr|E5RGS4|E5RGS4_HUMAN Prefoldin subunit 1 OS=Homo sapiens GN=PFDN1 PE=4 SV=1	3	3	3	3	2	2	2	1	2	3	2	2	2	2	2	2	1	2	3	2	2	2	2	2	2	1	2	3	2	2	2	23.8	23.8	23.8	14.21	122	122;117;35	1	22	2	3	2	1	3	3	3	2	3	2.966E-19	1.278	0.84864	35.399	22	NaN	NaN	NaN	2	2.0786	1.4547	65.141	3	NaN	NaN	NaN	2	NaN	NaN	NaN	1	1.122	0.65859	21.063	3	1.283	0.92044	11.026	3	1.7279	1.1346	39.915	3	NaN	NaN	NaN	2	1.2835	1.0193	20.033	3	17.2	15.6	17.2	9	15.6	23.8	17.2	14.8	17.2	437290000	210100000	227190000	41842000	18583000	23259000	50598000	25503000	25094000	42336000	21049000	21287000	36193000	16841000	19352000	91676000	47480000	44196000	56635000	26803000	29832000	46996000	21183000	25813000	18986000	8918200	10068000	52030000	23742000	28288000				147	32;107;1179	True;True;True	32;111;1202	153;154;155;156;157;158;159;160;501;502;503;504;505;5425;5426;5427;5428;5429;5430;5431;5432;5433	173;174;175;176;529;530;5648;5649;5650;5651;5652;5653;5654;5655;5656;5657;5658	174;530;5657		
O94903;H0YBB9;E5RH70	O94903;H0YBB9;E5RH70	1;1;1	1;1;1	1;1;1	Proline synthase co-transcribed bacterial homolog protein	PROSC	>sp|O94903|PROSC_HUMAN Proline synthase co-transcribed bacterial homolog protein OS=Homo sapiens GN=PROSC PE=1 SV=1;>tr|H0YBB9|H0YBB9_HUMAN Proline synthase co-transcribed bacterial homolog protein (Fragment) OS=Homo sapiens GN=PROSC PE=3 SV=1;>tr|E5RH70|E	3	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	0	1	1	1	1	1	3.3	3.3	3.3	30.344	275	275;244;53	1	8	1	1	1		1	1	1	1	1	2.9131E-83	NaN	NaN	NaN	0	NaN	NaN	NaN	0	NaN	NaN	NaN	0	NaN	NaN	NaN	0	NaN	NaN	NaN	0	NaN	NaN	NaN	0	NaN	NaN	NaN	0	NaN	NaN	NaN	0	NaN	NaN	NaN	0	NaN	NaN	NaN	0	3.3	3.3	3.3	0	3.3	3.3	3.3	3.3	3.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				148	213	True	219	935;936;937;938;939;940;941;942	983;984;985;986;987;988;989;990	983		
E5RJD8;O75347;E5RIW3;B4DT30;E5RIX8	E5RJD8;O75347;E5RIW3;B4DT30	4;4;4;2;1	4;4;4;2;1	4;4;4;2;1	Tubulin-specific chaperone A	TBCA	>tr|E5RJD8|E5RJD8_HUMAN Tubulin-specific chaperone A OS=Homo sapiens GN=TBCA PE=4 SV=1;>sp|O75347|TBCA_HUMAN Tubulin-specific chaperone A OS=Homo sapiens GN=TBCA PE=1 SV=3;>tr|E5RIW3|E5RIW3_HUMAN Tubulin-specific chaperone A OS=Homo sapiens GN=TBCA PE=4 SV	5	4	4	4	2	0	2	4	2	2	2	3	1	2	0	2	4	2	2	2	3	1	2	0	2	4	2	2	2	3	1	40.3	40.3	40.3	14.306	119	119;108;84;129;79	1	20	2		2	4	3	2	3	3	1	1.1362E-41	1.4759	0.95777	32.377	17	NaN	NaN	NaN	2	NaN	NaN	NaN	0	NaN	NaN	NaN	2	1.6142	0.97047	15.067	3	NaN	NaN	NaN	2	NaN	NaN	NaN	2	NaN	NaN	NaN	2	1.5512	1.0879	32.724	3	NaN	NaN	NaN	1	23.5	0	16.8	40.3	17.6	24.4	24.4	25.2	9.2	295780000	117740000	178040000	38243000	17992000	20251000	0	0	0	27116000	11457000	15660000	66337000	25647000	40689000	48302000	17990000	30312000	44469000	14223000	30245000	16661000	7431400	9229600	44079000	18949000	25130000	10573000	4054600	6518800				149	1027;1429;1673;1798	True;True;True;True	1048;1455;1722;1851	4714;4715;4716;4717;6453;6454;6455;6456;7536;7537;7538;8083;8084;8085;8086;8087;8088;8089;8090;8091	4860;4861;4862;4863;6683;6684;6685;6686;7817;7818;7819;7820;8386;8387;8388;8389;8390;8391;8392;8393;8394;8395;8396	4862;6686;7818;8390		
E5RJR5;P63208;P63208-2;F8W8N3;E7ERH2	E5RJR5;P63208;P63208-2;F8W8N3;E7ERH2	1;1;1;1;1	1;1;1;1;1	1;1;1;1;1	S-phase kinase-associated protein 1	SKP1	>tr|E5RJR5|E5RJR5_HUMAN S-phase kinase-associated protein 1 OS=Homo sapiens GN=SKP1 PE=4 SV=1;>sp|P63208|SKP1_HUMAN S-phase kinase-associated protein 1 OS=Homo sapiens GN=SKP1 PE=1 SV=2;>sp|P63208-2|SKP1_HUMAN Isoform 2 of S-phase kinase-associated protein	5	1	1	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	4.9	4.9	4.9	18.72	163	163;163;160;158;142	1	1		1								0.0033452	NaN	NaN	NaN	1	NaN	NaN	NaN	0	NaN	NaN	NaN	1	NaN	NaN	NaN	0	NaN	NaN	NaN	0	NaN	NaN	NaN	0	NaN	NaN	NaN	0	NaN	NaN	NaN	0	NaN	NaN	NaN	0	NaN	NaN	NaN	0	0	4.9	0	0	0	0	0	0	0	18944000	7220600	11723000	0	0	0	18944000	7220600	11723000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				150	813	True	829	3763	3912	3912		
P18669;E7EMA8;Q8N0Y7;P15259	P18669;E7EMA8;Q8N0Y7;P15259	2;2;1;1	2;2;1;1	2;2;1;1	Phosphoglycerate mutase 1;Probable phosphoglycerate mutase 4;Phosphoglycerate mutase 2	PGAM1;PGAM4;PGAM2	>sp|P18669|PGAM1_HUMAN Phosphoglycerate mutase 1 OS=Homo sapiens GN=PGAM1 PE=1 SV=2;>tr|E7EMA8|E7EMA8_HUMAN Phosphoglycerate mutase 1 OS=Homo sapiens GN=PGAM1 PE=3 SV=2;>sp|Q8N0Y7|PGAM4_HUMAN Probable phosphoglycerate mutase 4 OS=Homo sapiens GN=PGAM4 PE=1	4	2	2	2	0	0	0	1	1	2	1	0	0	0	0	0	1	1	2	1	0	0	0	0	0	1	1	2	1	0	0	13.8	13.8	13.8	28.804	254	254;144;254;253	1	5				1	1	2	1			8.726E-32	0.55251	0.2832	98.931	5	NaN	NaN	NaN	0	NaN	NaN	NaN	0	NaN	NaN	NaN	0	NaN	NaN	NaN	1	NaN	NaN	NaN	1	NaN	NaN	NaN	2	NaN	NaN	NaN	1	NaN	NaN	NaN	0	NaN	NaN	NaN	0	0	0	0	5.5	8.3	13.8	8.3	0	0	167940000	123160000	44779000	0	0	0	0	0	0	0	0	0	13029000	5030500	7998600	33794000	25732000	8061700	53063000	33185000	19878000	68050000	59210000	8840400	0	0	0	0	0	0				151	171;2462	True;True	177;2528	751;752;11129;11130;11131	781;782;11568;11569;11570;11571	782;11570		
Q9Y6V0-5;Q9Y6V0;Q9Y6V0-6;Q9Y6V0-2;E7EMT1	Q9Y6V0-5;Q9Y6V0;Q9Y6V0-6;Q9Y6V0-2;E7EMT1	1;1;1;1;1	1;1;1;1;1	1;1;1;1;1	Protein piccolo	PCLO	>sp|Q9Y6V0-5|PCLO_HUMAN Isoform 5 of Protein piccolo OS=Homo sapiens GN=PCLO;>sp|Q9Y6V0|PCLO_HUMAN Protein piccolo OS=Homo sapiens GN=PCLO PE=1 SV=4;>sp|Q9Y6V0-6|PCLO_HUMAN Isoform 6 of Protein piccolo OS=Homo sapiens GN=PCLO;>sp|Q9Y6V0-2|PCLO_HUMAN Isofor	5	1	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0.3	0.3	0.3	560.69	5142	5142;5065;4935;4866;3635	1	1							1			0.0030378	NaN	NaN	NaN	1	NaN	NaN	NaN	0	NaN	NaN	NaN	0	NaN	NaN	NaN	0	NaN	NaN	NaN	0	NaN	NaN	NaN	0	NaN	NaN	NaN	0	NaN	NaN	NaN	1	NaN	NaN	NaN	0	NaN	NaN	NaN	0	0	0	0	0	0	0	0.3	0	0	43748000	2097600	41650000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	43748000	2097600	41650000	0	0	0	0	0	0				152	577	True	592	2775	2914	2914		
Q13546;Q13546-2;E7EN45	Q13546;Q13546-2;E7EN45	1;1;1	1;1;1	1;1;1	Receptor-interacting serine/threonine-protein kinase 1	RIPK1	>sp|Q13546|RIPK1_HUMAN Receptor-interacting serine/threonine-protein kinase 1 OS=Homo sapiens GN=RIPK1 PE=1 SV=3;>sp|Q13546-2|RIPK1_HUMAN Isoform 2 of Receptor-interacting serine/threonine-protein kinase 1 OS=Homo sapiens GN=RIPK1;>tr|E7EN45|E7EN45_HUMAN R	3	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	0	1.9	1.9	1.9	75.93	671	671;625;273	1	8	1	1	1	1	1	1	1	1		3.8065E-07	NaN	NaN	NaN	0	NaN	NaN	NaN	0	NaN	NaN	NaN	0	NaN	NaN	NaN	0	NaN	NaN	NaN	0	NaN	NaN	NaN	0	NaN	NaN	NaN	0	NaN	NaN	NaN	0	NaN	NaN	NaN	0	NaN	NaN	NaN	0	1.9	1.9	1.9	1.9	1.9	1.9	1.9	1.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				153	959	True	979	4365;4366;4367;4368;4369;4370;4371;4372	4506;4507;4508;4509;4510;4511;4512;4513	4507		
P52747;E7ER34;E7EN86;P52747-2	P52747;E7ER34;E7EN86;P52747-2	1;1;1;1	1;1;1;1	1;1;1;1	Zinc finger protein 143	ZNF143	>sp|P52747|ZN143_HUMAN Zinc finger protein 143 OS=Homo sapiens GN=ZNF143 PE=1 SV=2;>tr|E7ER34|E7ER34_HUMAN Zinc finger protein 143 OS=Homo sapiens GN=ZNF143 PE=4 SV=1;>tr|E7EN86|E7EN86_HUMAN Zinc finger protein 143 OS=Homo sapiens GN=ZNF143 PE=4 SV=1;>sp|P	4	1	1	1	1	1	0	0	0	0	1	0	0	1	1	0	0	0	0	1	0	0	1	1	0	0	0	0	1	0	0	1.7	1.7	1.7	68.895	638	638;637;610;607	1	3	1	1					1			0.00031208	NaN	NaN	NaN	0	NaN	NaN	NaN	0	NaN	NaN	NaN	0	NaN	NaN	NaN	0	NaN	NaN	NaN	0	NaN	NaN	NaN	0	NaN	NaN	NaN	0	NaN	NaN	NaN	0	NaN	NaN	NaN	0	NaN	NaN	NaN	0	1.7	1.7	0	0	0	0	1.7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				154	1064	True	1086	4920;4921;4922	5135;5136;5137	5135		
P14678-3;E7ENP4;P14678;P14678-2;B3KVR1;P63162;A8MT02	P14678-3;E7ENP4;P14678;P14678-2;B3KVR1;P63162;A8MT02	3;3;3;3;2;2;2	3;3;3;3;2;2;2	3;3;3;3;2;2;2	Small nuclear ribonucleoprotein-associated proteins B and B;Small nuclear ribonucleoprotein-associated protein;Small nuclear ribonucleoprotein-associated protein N	SNRPB;SNRPN	>sp|P14678-3|RSMB_HUMAN Isoform SM-B1 of Small nuclear ribonucleoprotein-associated proteins B and B OS=Homo sapiens GN=SNRPB;>tr|E7ENP4|E7ENP4_HUMAN Small nuclear ribonucleoprotein-associated proteins B and B OS=Homo sapiens GN=SNRPB PE=4 SV=2;>sp|P1467	7	3	3	3	0	0	1	2	1	1	1	1	1	0	0	1	2	1	1	1	1	1	0	0	1	2	1	1	1	1	1	12.5	12.5	12.5	30.032	289	289;288;240;231;244;240;155	1	10			2	2	1	1	1	1	2	1.1463E-116	1.7582	1.1408	12.646	10	NaN	NaN	NaN	0	NaN	NaN	NaN	0	NaN	NaN	NaN	2	NaN	NaN	NaN	2	NaN	NaN	NaN	1	NaN	NaN	NaN	1	NaN	NaN	NaN	1	NaN	NaN	NaN	1	NaN	NaN	NaN	2	0	0	4.8	7.6	2.4	5.2	4.8	4.8	4.8	257920000	85300000	172620000	0	0	0	0	0	0	44169000	15424000	28745000	40783000	13769000	27014000	15276000	5253300	10023000	22934000	5225400	17708000	31171000	11092000	20079000	37058000	11205000	25853000	66527000	23332000	43195000				155	889;978;2376	True;True;True	907;998;2441	4057;4058;4458;4459;10783;10784;10785;10786;10787;10788	4211;4212;4605;4606;4607;11227;11228;11229;11230	4212;4607;11229		
E7ETS8;Q07864;F5H1D6;F5H7H6;E7ENR1	E7ETS8;Q07864;F5H1D6;F5H7H6;E7ENR1	1;1;1;1;1	1;1;1;1;1	1;1;1;1;1	DNA polymerase;DNA polymerase epsilon catalytic subunit A	POLE	>tr|E7ETS8|E7ETS8_HUMAN DNA polymerase OS=Homo sapiens GN=POLE PE=3 SV=2;>sp|Q07864|DPOE1_HUMAN DNA polymerase epsilon catalytic subunit A OS=Homo sapiens GN=POLE PE=1 SV=5;>tr|F5H1D6|F5H1D6_HUMAN DNA polymerase OS=Homo sapiens GN=POLE PE=3 SV=1;>tr|F5H7H6	5	1	1	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0.6	0.6	0.6	262.98	2297	2297;2286;2259;1164;1109	1	1			1							4.429E-05	NaN	NaN	NaN	1	NaN	NaN	NaN	0	NaN	NaN	NaN	0	NaN	NaN	NaN	1	NaN	NaN	NaN	0	NaN	NaN	NaN	0	NaN	NaN	NaN	0	NaN	NaN	NaN	0	NaN	NaN	NaN	0	NaN	NaN	NaN	0	0	0	0.6	0	0	0	0	0	0	11024000	459210	10565000	0	0	0	0	0	0	11024000	459210	10565000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				156	1865	True	1918	8367	8684	8684		
E7ENU4;P55265-4;P55265;P55265-2;H0YCK3;P55265-3;P55265-5	E7ENU4;P55265-4;P55265;P55265-2;H0YCK3;P55265-3;P55265-5	2;2;2;2;2;2;2	2;2;2;2;2;2;2	2;2;2;2;2;2;2	Double-stranded RNA-specific adenosine deaminase	ADAR	>tr|E7ENU4|E7ENU4_HUMAN Double-stranded RNA-specific adenosine deaminase OS=Homo sapiens GN=ADAR PE=4 SV=1;>sp|P55265-4|DSRAD_HUMAN Isoform 4 of Double-stranded RNA-specific adenosine deaminase OS=Homo sapiens GN=ADAR;>sp|P55265|DSRAD_HUMAN Double-stranded	7	2	2	2	0	0	0	2	0	1	1	0	0	0	0	0	2	0	1	1	0	0	0	0	0	2	0	1	1	0	0	2	2	2	140.83	1269	1269;1269;1226;1200;1195;1181;931	1	5				3		1	1			1.0461E-63	NaN	NaN	NaN	2	NaN	NaN	NaN	0	NaN	NaN	NaN	0	NaN	NaN	NaN	0	NaN	NaN	NaN	1	NaN	NaN	NaN	0	NaN	NaN	NaN	1	NaN	NaN	NaN	0	NaN	NaN	NaN	0	NaN	NaN	NaN	0	0	0	0	2	0	1.2	1.2	0	0	8622200	3122400	5499700	0	0	0	0	0	0	0	0	0	4261900	1170900	3090900	0	0	0	4360300	1951500	2408800	0	0	0	0	0	0	0	0	0				157	426;2507	True;True	437;2573	2047;2048;11319;11320;11321	2156;2157;11742;11743;11744	2156;11743		
E7ENZ6;E7EQX5;P30481;P30485;F6RI39;F6T5B9;E9PIJ3;E9PLX5;P30461	E7ENZ6;E7EQX5;P30481;P30485;F6RI39;F6T5B9;E9PIJ3;E9PLX5;P30461	10;10;10;8;8;8;8;8;7	1;1;1;0;1;1;1;1;0	0;0;0;0;0;0;0;0;0	HLA class I histocompatibility antigen, B-44 alpha chain;HLA class I histocompatibility antigen, B-47 alpha chain;HLA class I histocompatibility antigen, B-13 alpha chain	HLA-B	>tr|E7ENZ6|E7ENZ6_HUMAN HLA class I histocompatibility antigen, B-82 alpha chain OS=Homo sapiens GN=HLA-B PE=3 SV=1;>tr|E7EQX5|E7EQX5_HUMAN HLA class I histocompatibility antigen, B-82 alpha chain OS=Homo sapiens GN=HLA-B PE=3 SV=1;>sp|P30481|1B44_HUMAN HL	9	10	1	0	6	8	5	8	7	6	4	5	4	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	28.2	3	0	47.954	433	433;433;362;362;246;246;224;224;362	1	2				1		1				2.1674E-162	NaN	NaN	NaN	2	NaN	NaN	NaN	0	NaN	NaN	NaN	0	NaN	NaN	NaN	0	NaN	NaN	NaN	1	NaN	NaN	NaN	0	NaN	NaN	NaN	1	NaN	NaN	NaN	0	NaN	NaN	NaN	0	NaN	NaN	NaN	0	14.8	21.9	14.3	22.4	19.6	15.9	11.3	14.3	12.7	11038000	5092000	5946300	0	0	0	0	0	0	0	0	0	5876800	2761000	3115800	0	0	0	5161600	2331000	2830500	0	0	0	0	0	0	0	0	0				158	227;228;338;414;627;653;1538;2449;2474;2504	False;False;True;False;False;False;False;False;False;False	233;234;346;425;642;668;1585;2515;2540;2570	1002;1003;1004;1005;1006;1007;1008;1009;1010;1011;1012;1013;1014;1015;1016;1017;1018;1019;1584;1585;1981;1982;1983;1984;1985;1986;2992;2993;2994;2995;2996;2997;2998;3123;3124;6954;6955;6956;6957;6958;6959;6960;11075;11076;11077;11078;11164;11165;11300;11301;11302;11303;11304;11305;11306;11307;11308;11309;11310;11311;11312	1059;1060;1061;1062;1063;1064;1065;1066;1067;1068;1069;1070;1071;1072;1073;1074;1075;1076;1077;1078;1079;1080;1081;1082;1655;2074;2075;2076;2077;2078;2079;2080;2081;2082;2083;2084;2085;3127;3128;3129;3259;3260;7201;7202;7203;7204;7205;7206;7207;11512;11513;11514;11515;11603;11604;11722;11723;11724;11725;11726;11727;11728;11729;11730;11731;11732;11733;11734;11735	1066;1075;1655;2076;3129;3260;7203;11512;11604;11727		
Q9NYC9;E7EP17;Q9NYC9-2;H0Y3W2	Q9NYC9;E7EP17;Q9NYC9-2;H0Y3W2	1;1;1;1	1;1;1;1	1;1;1;1	Dynein heavy chain 9, axonemal	DNAH9	>sp|Q9NYC9|DYH9_HUMAN Dynein heavy chain 9, axonemal OS=Homo sapiens GN=DNAH9 PE=1 SV=3;>tr|E7EP17|E7EP17_HUMAN Dynein heavy chain 9, axonemal OS=Homo sapiens GN=DNAH9 PE=4 SV=1;>sp|Q9NYC9-2|DYH9_HUMAN Isoform 2 of Dynein heavy chain 9, axonemal OS=Homo sa	4	1	1	1	0	0	1	1	0	0	0	0	1	0	0	1	1	0	0	0	0	1	0	0	1	1	0	0	0	0	1	0.2	0.2	0.2	511.87	4486	4486;4410;4410;2992	1	3			1	1					1	1.7792E-05	NaN	NaN	NaN	2	NaN	NaN	NaN	0	NaN	NaN	NaN	0	NaN	NaN	NaN	1	NaN	NaN	NaN	1	NaN	NaN	NaN	0	NaN	NaN	NaN	0	NaN	NaN	NaN	0	NaN	NaN	NaN	0	NaN	NaN	NaN	0	0	0	0.2	0.2	0	0	0	0	0.2	82223000	78085000	4138100	0	0	0	0	0	0	51283000	48600000	2682300	30941000	29485000	1455800	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				159	1218	True	1241	5581;5582;5583	5810;5811;5812	5812		
